Grid ID,Grid Square Geometric Place Expression
E60N37-23,"MULTIPOLYGON (((60.5 37.25,60.5 37.5,60.75 37.5,60.75 37.25,60.5 37.25)))"
E60N37-24,"MULTIPOLYGON (((60.75 37.25,60.75 37.5,61.0 37.5,61.0 37.25,60.75 37.25)))"
E60N37-41,"MULTIPOLYGON (((60.5 37.5,60.5 37.75,60.75 37.75,60.75 37.5,60.5 37.5)))"
E60N37-42,"MULTIPOLYGON (((60.75 37.5,60.75 37.75,61.0 37.75,61.0 37.5,60.75 37.5)))"
E60N37-43,"MULTIPOLYGON (((60.5 37.75,60.5 38.0,60.75 38.0,60.75 37.75,60.5 37.75)))"
E60N37-44,"MULTIPOLYGON (((60.75 37.75,60.75 38.0,61 38,61.0 37.75,60.75 37.75)))"
E60N38-21,"MULTIPOLYGON (((60.5 38.0,60.5 38.25,60.75 38.25,60.75 38.0,60.5 38.0)))"
E60N38-22,"MULTIPOLYGON (((60.75 38.0,60.75 38.25,61.0 38.25,61 38,60.75 38.0)))"
E60N38-23,"MULTIPOLYGON (((60.5 38.25,60.5 38.5,60.75 38.5,60.75 38.25,60.5 38.25)))"
E60N38-24,"MULTIPOLYGON (((60.75 38.25,60.75 38.5,61.0 38.5,61.0 38.25,60.75 38.25)))"
E61N29-13,"MULTIPOLYGON (((61.0 29.25,61.0 29.5,61.25 29.5,61.25 29.25,61.0 29.25)))"
E61N29-14,"MULTIPOLYGON (((61.25 29.25,61.25 29.5,61.5 29.5,61.5 29.25,61.25 29.25)))"
E61N29-23,"MULTIPOLYGON (((61.5 29.25,61.5 29.5,61.75 29.5,61.75 29.25,61.5 29.25)))"
E61N29-24,"MULTIPOLYGON (((61.75 29.25,61.75 29.5,62.0 29.5,62.0 29.25,61.75 29.25)))"
E61N29-31,"MULTIPOLYGON (((61.0 29.5,61.0 29.75,61.25 29.75,61.25 29.5,61.0 29.5)))"
E61N29-32,"MULTIPOLYGON (((61.25 29.5,61.25 29.75,61.5 29.75,61.5 29.5,61.25 29.5)))"
E61N29-33,"MULTIPOLYGON (((61.0 29.75,61 30,61.25 30.0,61.25 29.75,61.0 29.75)))"
E61N29-34,"MULTIPOLYGON (((61.25 29.75,61.25 30.0,61.5 30.0,61.5 29.75,61.25 29.75)))"
E61N29-41,"MULTIPOLYGON (((61.5 29.5,61.5 29.75,61.75 29.75,61.75 29.5,61.5 29.5)))"
E61N29-42,"MULTIPOLYGON (((61.75 29.5,61.75 29.75,62.0 29.75,62.0 29.5,61.75 29.5)))"
E61N29-43,"MULTIPOLYGON (((61.5 29.75,61.5 30.0,61.75 30.0,61.75 29.75,61.5 29.75)))"
E61N29-44,"MULTIPOLYGON (((61.75 29.75,61.75 30.0,62 30,62.0 29.75,61.75 29.75)))"
E61N30-11,"MULTIPOLYGON (((61 30,61.0 30.25,61.25 30.25,61.25 30.0,61 30)))"
E61N30-12,"MULTIPOLYGON (((61.25 30.0,61.25 30.25,61.5 30.25,61.5 30.0,61.25 30.0)))"
E61N30-13,"MULTIPOLYGON (((61.0 30.25,61.0 30.5,61.25 30.5,61.25 30.25,61.0 30.25)))"
E61N30-14,"MULTIPOLYGON (((61.25 30.25,61.25 30.5,61.5 30.5,61.5 30.25,61.25 30.25)))"
E61N30-21,"MULTIPOLYGON (((61.5 30.0,61.5 30.25,61.75 30.25,61.75 30.0,61.5 30.0)))"
E61N30-22,"MULTIPOLYGON (((61.75 30.0,61.75 30.25,62.0 30.25,62 30,61.75 30.0)))"
E61N30-23,"MULTIPOLYGON (((61.5 30.25,61.5 30.5,61.75 30.5,61.75 30.25,61.5 30.25)))"
E61N30-24,"MULTIPOLYGON (((61.75 30.25,61.75 30.5,62.0 30.5,62.0 30.25,61.75 30.25)))"
E61N30-31,"MULTIPOLYGON (((61.0 30.5,61.0 30.75,61.25 30.75,61.25 30.5,61.0 30.5)))"
E61N30-32,"MULTIPOLYGON (((61.25 30.5,61.25 30.75,61.5 30.75,61.5 30.5,61.25 30.5)))"
E61N30-33,"MULTIPOLYGON (((61.0 30.75,61 31,61.25 31.0,61.25 30.75,61.0 30.75)))"
E61N30-34,"MULTIPOLYGON (((61.25 30.75,61.25 31.0,61.5 31.0,61.5 30.75,61.25 30.75)))"
E61N30-41,"MULTIPOLYGON (((61.5 30.5,61.5 30.75,61.75 30.75,61.75 30.5,61.5 30.5)))"
E61N30-42,"MULTIPOLYGON (((61.75 30.5,61.75 30.75,62.0 30.75,62.0 30.5,61.75 30.5)))"
E61N30-43,"MULTIPOLYGON (((61.5 30.75,61.5 31.0,61.75 31.0,61.75 30.75,61.5 30.75)))"
E61N30-44,"MULTIPOLYGON (((61.75 30.75,61.75 31.0,62 31,62.0 30.75,61.75 30.75)))"
E61N31-11,"MULTIPOLYGON (((61 31,61.0 31.25,61.25 31.25,61.25 31.0,61 31)))"
E61N31-12,"MULTIPOLYGON (((61.25 31.0,61.25 31.25,61.5 31.25,61.5 31.0,61.25 31.0)))"
E61N31-13,"MULTIPOLYGON (((61.0 31.25,61.0 31.5,61.25 31.5,61.25 31.25,61.0 31.25)))"
E61N31-14,"MULTIPOLYGON (((61.25 31.25,61.25 31.5,61.5 31.5,61.5 31.25,61.25 31.25)))"
E61N31-21,"MULTIPOLYGON (((61.5 31.0,61.5 31.25,61.75 31.25,61.75 31.0,61.5 31.0)))"
E61N31-22,"MULTIPOLYGON (((61.75 31.0,61.75 31.25,62.0 31.25,62 31,61.75 31.0)))"
E61N31-23,"MULTIPOLYGON (((61.5 31.25,61.5 31.5,61.75 31.5,61.75 31.25,61.5 31.25)))"
E61N31-24,"MULTIPOLYGON (((61.75 31.25,61.75 31.5,62.0 31.5,62.0 31.25,61.75 31.25)))"
E61N31-31,"MULTIPOLYGON (((61.0 31.5,61.0 31.75,61.25 31.75,61.25 31.5,61.0 31.5)))"
E61N31-32,"MULTIPOLYGON (((61.25 31.5,61.25 31.75,61.5 31.75,61.5 31.5,61.25 31.5)))"
E61N31-33,"MULTIPOLYGON (((61.0 31.75,61 32,61.25 32.0,61.25 31.75,61.0 31.75)))"
E61N31-34,"MULTIPOLYGON (((61.25 31.75,61.25 32.0,61.5 32.0,61.5 31.75,61.25 31.75)))"
E61N31-41,"MULTIPOLYGON (((61.5 31.5,61.5 31.75,61.75 31.75,61.75 31.5,61.5 31.5)))"
E61N31-42,"MULTIPOLYGON (((61.75 31.5,61.75 31.75,62.0 31.75,62.0 31.5,61.75 31.5)))"
E61N31-43,"MULTIPOLYGON (((61.5 31.75,61.5 32.0,61.75 32.0,61.75 31.75,61.5 31.75)))"
E61N31-44,"MULTIPOLYGON (((61.75 31.75,61.75 32.0,62 32,62.0 31.75,61.75 31.75)))"
E61N32-11,"MULTIPOLYGON (((61 32,61.0 32.25,61.25 32.25,61.25 32.0,61 32)))"
E61N32-12,"MULTIPOLYGON (((61.25 32.0,61.25 32.25,61.5 32.25,61.5 32.0,61.25 32.0)))"
E61N32-13,"MULTIPOLYGON (((61.0 32.25,61.0 32.5,61.25 32.5,61.25 32.25,61.0 32.25)))"
E61N32-14,"MULTIPOLYGON (((61.25 32.25,61.25 32.5,61.5 32.5,61.5 32.25,61.25 32.25)))"
E61N32-21,"MULTIPOLYGON (((61.5 32.0,61.5 32.25,61.75 32.25,61.75 32.0,61.5 32.0)))"
E61N32-22,"MULTIPOLYGON (((61.75 32.0,61.75 32.25,62.0 32.25,62 32,61.75 32.0)))"
E61N32-23,"MULTIPOLYGON (((61.5 32.25,61.5 32.5,61.75 32.5,61.75 32.25,61.5 32.25)))"
E61N32-24,"MULTIPOLYGON (((61.75 32.25,61.75 32.5,62.0 32.5,62.0 32.25,61.75 32.25)))"
E61N32-31,"MULTIPOLYGON (((61.0 32.5,61.0 32.75,61.25 32.75,61.25 32.5,61.0 32.5)))"
E61N32-32,"MULTIPOLYGON (((61.25 32.5,61.25 32.75,61.5 32.75,61.5 32.5,61.25 32.5)))"
E61N32-33,"MULTIPOLYGON (((61.0 32.75,61 33,61.25 33.0,61.25 32.75,61.0 32.75)))"
E61N32-34,"MULTIPOLYGON (((61.25 32.75,61.25 33.0,61.5 33.0,61.5 32.75,61.25 32.75)))"
E61N32-41,"MULTIPOLYGON (((61.5 32.5,61.5 32.75,61.75 32.75,61.75 32.5,61.5 32.5)))"
E61N32-42,"MULTIPOLYGON (((61.75 32.5,61.75 32.75,62.0 32.75,62.0 32.5,61.75 32.5)))"
E61N32-43,"MULTIPOLYGON (((61.5 32.75,61.5 33.0,61.75 33.0,61.75 32.75,61.5 32.75)))"
E61N32-44,"MULTIPOLYGON (((61.75 32.75,61.75 33.0,62 33,62.0 32.75,61.75 32.75)))"
E61N33-11,"MULTIPOLYGON (((61 33,61.0 33.25,61.25 33.25,61.25 33.0,61 33)))"
E61N33-12,"MULTIPOLYGON (((61.25 33.0,61.25 33.25,61.5 33.25,61.5 33.0,61.25 33.0)))"
E61N33-13,"MULTIPOLYGON (((61.0 33.25,61.0 33.5,61.25 33.5,61.25 33.25,61.0 33.25)))"
E61N33-14,"MULTIPOLYGON (((61.25 33.25,61.25 33.5,61.5 33.5,61.5 33.25,61.25 33.25)))"
E61N33-21,"MULTIPOLYGON (((61.5 33.0,61.5 33.25,61.75 33.25,61.75 33.0,61.5 33.0)))"
E61N33-22,"MULTIPOLYGON (((61.75 33.0,61.75 33.25,62.0 33.25,62 33,61.75 33.0)))"
E61N33-23,"MULTIPOLYGON (((61.5 33.25,61.5 33.5,61.75 33.5,61.75 33.25,61.5 33.25)))"
E61N33-24,"MULTIPOLYGON (((61.75 33.25,61.75 33.5,62.0 33.5,62.0 33.25,61.75 33.25)))"
E61N33-31,"MULTIPOLYGON (((61.0 33.5,61.0 33.75,61.25 33.75,61.25 33.5,61.0 33.5)))"
E61N33-32,"MULTIPOLYGON (((61.25 33.5,61.25 33.75,61.5 33.75,61.5 33.5,61.25 33.5)))"
E61N33-33,"MULTIPOLYGON (((61.0 33.75,61 34,61.25 34.0,61.25 33.75,61.0 33.75)))"
E61N33-34,"MULTIPOLYGON (((61.25 33.75,61.25 34.0,61.5 34.0,61.5 33.75,61.25 33.75)))"
E61N33-41,"MULTIPOLYGON (((61.5 33.5,61.5 33.75,61.75 33.75,61.75 33.5,61.5 33.5)))"
E61N33-42,"MULTIPOLYGON (((61.75 33.5,61.75 33.75,62.0 33.75,62.0 33.5,61.75 33.5)))"
E61N33-43,"MULTIPOLYGON (((61.5 33.75,61.5 34.0,61.75 34.0,61.75 33.75,61.5 33.75)))"
E61N33-44,"MULTIPOLYGON (((61.75 33.75,61.75 34.0,62 34,62.0 33.75,61.75 33.75)))"
E61N34-11,"MULTIPOLYGON (((61 34,61.0 34.25,61.25 34.25,61.25 34.0,61 34)))"
E61N34-12,"MULTIPOLYGON (((61.25 34.0,61.25 34.25,61.5 34.25,61.5 34.0,61.25 34.0)))"
E61N34-13,"MULTIPOLYGON (((61.0 34.25,61.0 34.5,61.25 34.5,61.25 34.25,61.0 34.25)))"
E61N34-14,"MULTIPOLYGON (((61.25 34.25,61.25 34.5,61.5 34.5,61.5 34.25,61.25 34.25)))"
E61N34-21,"MULTIPOLYGON (((61.5 34.0,61.5 34.25,61.75 34.25,61.75 34.0,61.5 34.0)))"
E61N34-22,"MULTIPOLYGON (((61.75 34.0,61.75 34.25,62.0 34.25,62 34,61.75 34.0)))"
E61N34-23,"MULTIPOLYGON (((61.5 34.25,61.5 34.5,61.75 34.5,61.75 34.25,61.5 34.25)))"
E61N34-24,"MULTIPOLYGON (((61.75 34.25,61.75 34.5,62.0 34.5,62.0 34.25,61.75 34.25)))"
E61N34-31,"MULTIPOLYGON (((61.0 34.5,61.0 34.75,61.25 34.75,61.25 34.5,61.0 34.5)))"
E61N34-32,"MULTIPOLYGON (((61.25 34.5,61.25 34.75,61.5 34.75,61.5 34.5,61.25 34.5)))"
E61N34-33,"MULTIPOLYGON (((61.0 34.75,61 35,61.25 35.0,61.25 34.75,61.0 34.75)))"
E61N34-34,"MULTIPOLYGON (((61.25 34.75,61.25 35.0,61.5 35.0,61.5 34.75,61.25 34.75)))"
E61N34-41,"MULTIPOLYGON (((61.5 34.5,61.5 34.75,61.75 34.75,61.75 34.5,61.5 34.5)))"
