"Resource ID(s)","Resource type","Status","Contributed by","Document extract","Title","Caption","Keywords - Subject","Keywords - Emotion","Keywords - Event","Keywords - Other","Named person(s)","Country","Date","Original filename","Extracted text","Credit","Notes","Keywords - Recognised","Keywords - Landmark","Accessibility - Alt Text","Accessibility - Extended Description","Camera make / model","Source"
3526,"Document","Active","Thomas Huet","","Rumeil","lat=31.5752026167, lon=35.8742769518","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0330.tif","","RUMEIL","","","","","","",""
3525,"Document","Active","Thomas Huet","","WADI EL-BALU, SOUTH EAST TRIBUTARY OF WADI MUJIB","","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0321.tif","","WADI EL-BALU, SOUTH EAST TRIBUTARY OF WADI MUJIB","","","","","","",""
3524,"Document","Active","Thomas Huet","","Site 15 (Parker 450)","lat=31.18075, lon=35.8085","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0320.tif","","SITE 15/PARKER #450","","","","","","",""
3523,"Document","Active","Thomas Huet","","Rumeil","lat=31.5752026167, lon=35.8742769518","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0329.tif","","RUMEIL","","","","","","",""
3522,"Document","Active","Thomas Huet","","El-Mureigha","SL98/42.30, JF, ""El-Mureigha"" lat=31.1375951333, lon=35.7995424844","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0319.tif","","El-Mureigha","","","","","","",""
3521,"Document","Active","Thomas Huet","","NAKHL - BATRA - MUREIGHA","","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0318.tif","","NAKHL - BATRA - MUREIGHA","","","","","","",""
3520,"Document","Active","Thomas Huet","","Nakhl","lat=31.0590249324, lon=35.7808260704","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0317.tif","","NAKHL","","","","","","",""
3519,"Document","Active","Thomas Huet","","Kh. at-Tuwanah (TBAS #192)","lat=30.7503361111, lon=35.7264027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0315.tif","","TUWANA","","","","","","",""
3518,"Document","Active","Thomas Huet","","Kh. at-Tuwanah (TBAS #192)","lat=30.7503361111, lon=35.7264027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0316.tif","","TUWANA","","","","","","",""
3517,"Document","Active","Thomas Huet","","Circle 3","lat=30.6458555556, lon=35.6572972222","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0313.tif","","CIRCLE 3","","","","","","",""
3516,"Document","Active","Thomas Huet","","Kh. at-Tuwanah (TBAS #192)","lat=30.7503361111, lon=35.7264027778","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0314.tif","","TUWANA","","","","","","",""
3515,"Document","Active","Thomas Huet","","KHALDI - QUWEIRA: EXPERIMENTAL FARMS","SL98/42.23, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0312.tif","","KHALDI - QUWEIRA: EXPERIMENTAL FARMS","","","","","","",""
3514,"Document","Active","Thomas Huet","","KHALDI - QUWEIRA","","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0311.tif","","KHALDI - QUWEIRA","","","","","","",""
3513,"Document","Active","Thomas Huet","","Kh. el-Khalde","lat=29.6563805556, lon=35.2305222222","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0310.tif","","KHIRBET EL KHALDI","","","","","","",""
3512,"Document","Active","Thomas Huet","","Kh. el-Khalde","lat=29.6563805556, lon=35.2305222222","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0309.tif","","KHIRBET EL KHALDI","","","","","","",""
3511,"Document","Active","Thomas Huet","","Kh. el-Khalde","lat=29.6563805556, lon=35.2305222222","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0308.tif","","KHIRBET EL KHALDI","","","","","","",""
3510,"Document","Active","Thomas Huet","","Kh. el-Khalde","lat=29.6563805556, lon=35.2305222222","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0307.tif","","KHIRBET EL KHALDI","","","","","","",""
3509,"Document","Active","Thomas Huet","","Kh. el-Khalde","lat=29.6563805556, lon=35.2305222222","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0306.tif","","KHIRBET EL KHALDI","","","","","","",""
3508,"Document","Active","Thomas Huet","","Kh. el-Khalde","lat=29.6563805556, lon=35.2305222222","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0305.tif","","KHIRBET EL KHALDI","","","","","","",""
3507,"Document","Active","Thomas Huet","","Aqaba 3","lat=29.5334105013, lon=34.9983574183","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0303.tif","","AQABA 3","","","","","","",""
3506,"Document","Active","Thomas Huet","","Aqaba 3","lat=29.5334105013, lon=34.9983574183","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0302.tif","","AQABA 3","","","","","","",""
3505,"Document","Active","Thomas Huet","","Aqaba 2","lat=29.5305240851, lon=34.9996542342","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0301.tif","","AQABA 2","","","","","","",""
3504,"Document","Active","Thomas Huet","","Aqaba 2","lat=29.5305240851, lon=34.9996542342","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0300.tif","","AQABA 2","","","","","","",""
3503,"Document","Active","Thomas Huet","","Aqaba 2","lat=29.5305240851, lon=34.9996542342","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0299.tif","","AQABA 2","","","","","","",""
3502,"Document","Active","Thomas Huet","","Aqaba 2","lat=29.5305240851, lon=34.9996542342","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0298.tif","","AQABA 2","","","","","","",""
3501,"Document","Active","Thomas Huet","","Aqaba 2","lat=29.5305240851, lon=34.9996542342","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0297.tif","","AQABA 2","","","","","","",""
3500,"Document","Active","Thomas Huet","","Aqaba 2","lat=29.5305240851, lon=34.9996542342; SL98/42.7, JF","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0296.tif","","AQABA 2","","","","","","",""
3499,"Document","Active","Thomas Huet","","Aqaba 2","lat=29.5305240851, lon=34.9996542342","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0295.tif","","AQABA 2","","","","","","",""
3498,"Document","Active","Thomas Huet","","Aqaba 1","lat=29.5214545883, lon=35.0018998665","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0294.tif","","AQABA 1","","","","","","",""
3497,"Document","Active","Thomas Huet","","Aqaba 1","lat=29.5214545883, lon=35.0018998665","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0293.tif","","AQABA 1","","","","","","",""
3496,"Document","Active","Thomas Huet","","Aqaba 1","lat=29.5214545883, lon=35.0018998665","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0291.tif","","AQABA 1","","","","","","",""
3495,"Document","Active","Thomas Huet","","Aqaba 1","lat=29.5214545883, lon=35.0018998665","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0292.tif","","AQABA 1","","","","","","",""
