uuid	eaid	grid_square	count
31f2ff3a-50eb-11eb-9c61-02e7594ce0a0	EAMENA-0179924	E35N31-13	1
31f2ff3a-50eb-11eb-9c61-02e7594ce0a0	EAMENA-0179925	E35N31-13	1
d1352f37-3c84-4e06-b62c-050f6e654ffc	EAMENA-0179937	E09N36-12	1
0704f30a-e083-4f23-9302-771ed40bf5d1	EAMENA-0179938	E09N35-34	1
c0abaff5-3968-46c3-884f-bd0f202ba9cd	EAMENA-0179939	E35N32-12	1
29511e0b-cb8f-4c6f-ac2a-761dc6ffc985	EAMENA-0179942	E35N32-12	1
79ec922d-0a3c-4169-9767-1a156929654b	EAMENA-0179943	E35N32-12	1
d97ad744-19df-4d30-b47b-918d090ac229	EAMENA-0179944	E35N32-12	1
63d26c6b-b2c1-4136-b8ac-c6dae0bc713a	EAMENA-0179945	E35N32-12	1
8fe582c4-19b9-4276-811d-8826cb0c86c8	EAMENA-0179947	E35N32-23	1
0a85ace4-f32d-44ad-b2b4-b47019408b27	EAMENA-0179960	E35N32-13	1
ff19dd2e-26f6-4fda-a8c3-b67a2b2aafb8	EAMENA-0179962	E35N32-13	1
bf8060ac-ff29-4bee-a280-ffab87bdb8d7	EAMENA-0179984	E50N14-34	1
70646c3d-c638-454f-a756-69bec466d8fc	EAMENA-0179985	E50N14-34	1
d3d5076e-76f1-4279-aa03-c1894be1399b	EAMENA-0180023	E35N32-11	1
b7463479-81e4-4dde-be26-c3003230d80a	EAMENA-0180032	E43N13-33	1
798050a3-c843-40c6-ab43-eeb5a974b3c8	EAMENA-0180033	E34N29-24	1
f0e8ca75-c49a-4319-bc2b-602de99be937	EAMENA-0180365	E44N12-13	1
7a880220-c9ce-4026-ae5e-e15c1156f6bb	EAMENA-0180367	E44N12-13	1
a0646ecd-d2e2-4717-beca-908d4470ee54	EAMENA-0180374	E34N28-44	1
31b5f105-a639-4b39-9245-5af354b00606	EAMENA-0180378	E34N28-44	1
a8ac8850-2657-4bc1-937e-1aa05309c044	EAMENA-0180548	E34N29-22	1
c2e6ab73-addd-403f-a317-41dd39c18344	EAMENA-0180549	E34N29-22	1
7bf5a600-1128-4515-80c9-05990d618077	EAMENA-0180558	E34N29-22	1
33ecaba6-e897-409c-8cd9-843e589967d3	EAMENA-0180563	E44N13-22	1
d7dfec0a-0d82-49cf-8510-1fefee71984f	EAMENA-0182338	E33N28-14	1
6114a59c-df3a-457a-8f28-28b1227f101a	EAMENA-0185479	E35N29-32	1
fd7c1826-f106-408b-99d2-4aebc58d6e3a	EAMENA-0186673	E35N31-33	1
fcb48346-4ef2-4d53-bec7-d52ba10b2935	EAMENA-0188013	E29N31-22	1
642b1dd6-4576-4808-a4a3-8cd8726f4be7	EAMENA-0188018	E29N31-22	1
d8751a1b-d23f-4397-acd1-b9523329c049	EAMENA-0188026	E29N31-22	1
80af3ba4-e207-4044-a78a-5f73273c4630	EAMENA-0188037	E29N31-22	1
577bdfb6-da76-418d-b00f-d12d654a2dca	EAMENA-0189678	E30N25-41	1
9b48b00d-37f1-401e-ac06-a3b7b433985a	EAMENA-0189708	E26N31-24	1
68f4bfd0-9f5e-457b-959d-2e51340f3978	EAMENA-0189714	E26N31-24	1
06bd23da-0fbb-4319-98ba-565e772e815d	EAMENA-0189782	E33N25-33	1
651ca325-67f5-4aad-b5aa-2fc7063c9f50	EAMENA-0189804	E27N31-13	1
b84f8cb1-79e5-46a6-8547-61e48d061e88	EAMENA-0189842	E27N31-13	1
b28a95fa-eb16-4082-9ccb-89d84fc50dd7	EAMENA-0189881	E30N25-23	1
0c716dda-d5d8-4623-835d-35006068ddd2	EAMENA-0189887	E30N25-23	1
56e1f669-da3d-426a-ab88-b2c5ff4f8ba0	EAMENA-0189889	E30N25-23	1
69d765c8-ce39-442c-9b75-406ab2902e78	EAMENA-0189890	E30N25-23	1
c0af456c-9755-43e9-8b28-4fbd39f4c1dd	EAMENA-0190037	E35N31-13	1
2cb711b0-b1d1-4053-b912-7148834f08f5	EAMENA-0190038	E35N32-11	1
f17cdc3b-dd66-41c0-afc4-a165f0da30ef	EAMENA-0190039	E35N31-33	1
4ef342fe-a4ee-4ec1-a3b8-d5947447554a	EAMENA-0190040	E35N32-13	1
847b7eb0-8584-48d0-9eb2-69db225200a7	EAMENA-0190041	E35N32-11	1
5056e7a8-ff4b-405b-83a2-447a6b67cd56	EAMENA-0190042	E35N32-12	1
ac21c6e0-0a45-4c89-a777-8247ee1167b2	EAMENA-0190050	E35N32-11	1
b789ed31-eac9-4bbb-ba9e-002e3b328eab	EAMENA-0190052	E35N29-34	1
5997f5a1-c55d-445d-b90b-29be9fa56f7f	EAMENA-0190160	E14N31-33	1
7be85826-7c43-4070-89f2-c8a2329987c5	EAMENA-0190465	E14N31-33	1
7dca5d3e-d36f-41f1-9246-e51bae058f79	EAMENA-0190909	E44N12-41	1
8e5c4de8-9388-43e7-9792-63ed98010952	EAMENA-0191026	E46N13-14	1
bd359b62-fbe3-4fef-90a8-8096c6eebbce	EAMENA-0192524	E56N24-23	1
d10e1c05-6f55-4063-b481-d37af09ba3f5	EAMENA-0192703	E56N24-23	1
cdb3baa4-3e78-4456-8e7c-295a35c508ba	EAMENA-0193637	E57N24-11	1
88b24fe0-72b2-40ca-aa8b-2f96f55712fc	EAMENA-0193662	E57N23-42	1
2b7d7817-5101-4831-a159-2c30bb21579c	EAMENA-0193955	E14N31-33	1
447bc454-6c73-4d5c-a93f-93e4be7aac13	EAMENA-0194002	E57N23-43	1
2ed43d92-b8ed-45dc-b56b-4ab27ff7419d	EAMENA-0194028	E50N29-14	1
4e5d9ee0-9237-478d-926f-8b3b711e715b	EAMENA-0195282	E58N25-31	1
2af4508d-77f4-43f9-b664-a53127a13bc6	EAMENA-0195380	E50N29-12	1
0cb63a5b-034d-40d1-9543-b66dac4f66c2	EAMENA-0195517	E56N19-33	1
40ae94c3-6d85-4270-8042-58f2a43fe49d	EAMENA-0196576	E50N26-12	1
1f6ac532-137e-4d77-a6e1-9b10d9c958dd	EAMENA-0196663	E32N29-34	1
e1e600ad-17cc-4f0d-b77f-ac753fc94e2a	EAMENA-0196782	E32N29-43	1
14efbb0d-be05-455f-8a40-15e89d5bae30	EAMENA-0196900	E45N13-11	1
8794cfe3-49f9-42e5-9e19-27044a32f0fb	EAMENA-0196958	E32N29-43	1
f9644265-b274-40a5-9d5d-412a5fc08b14	EAMENA-0196959	E32N29-43	1
53af17d9-655f-419b-a3bd-310e7edca06e	EAMENA-0196960	E32N29-43	1
31305fda-ea0a-406e-8f23-796823d88aa3	EAMENA-0196961	E32N29-43	1
6c9f93fe-74cf-4b6b-a5cf-ae066fbedac1	EAMENA-0197119	E32N29-43	1
2ce5003b-86fc-44e4-ae5b-7b074d1ed894	EAMENA-0197120	E32N29-43	1
748eb877-bfb5-44f0-b866-c768faba421a	EAMENA-0197352	E42N14-42	1
b7b9ae57-fef5-40a6-9c60-e9e704644695	EAMENA-0197361	E49N30-12	1
672fb848-9655-4356-b614-c540eb82d883	EAMENA-0198451	E32N29-34	1
6cd11358-6892-4fc9-8eee-0e31f558d674	EAMENA-0203058	E05N35-42	1
e2cd5e20-3323-4499-aeb6-85e6576a6265	EAMENA-0203059	E05N35-42	1
bc01555f-42f3-4c5f-830f-608c7a0e5651	EAMENA-0203060	E05N35-44	1
9118ff9d-2ca9-4799-adf8-cb7f7ea78933	EAMENA-0203061	E06N35-33	1
2622c378-5663-4068-b5e8-35166e81c1a2	EAMENA-0203062	E05N35-42	1
b118bc1e-f4cf-474d-aca1-01cecc23cb49	EAMENA-0203063	E05N35-42	1
13fcf8e4-15f8-48fb-9a16-cba628d57a5d	EAMENA-0203064	E05N35-42	1
a153cddd-b203-499e-b0e9-7026ec3ed257	EAMENA-0203065	E06N35-31	1
afc18790-69c8-4db5-ada8-e912d918e9a0	EAMENA-0203066	E05N35-42	1
f6384285-b42d-40cf-b321-bf177986a4a0	EAMENA-0203067	E05N35-42	1
95f2593c-d934-461a-b68b-2eeda468da7f	EAMENA-0203068	E05N35-42	1
074b4aea-1b9a-4c9c-9caf-fd1fbf4cdbe8	EAMENA-0203069	E05N35-24	1
5631f1ef-2489-49a2-89e6-42d403c81835	EAMENA-0203070	E05N35-24	1
1370a36f-5eac-4ec0-b480-2b14ae435b61	EAMENA-0203071	E05N35-24	1
abf34380-87ee-43cb-9bb4-2ad7cce91fed	EAMENA-0203072	E05N35-24	1
700b8765-a52a-44b2-856d-7cc22041dac7	EAMENA-0203073	E05N35-24	1
418c854e-2935-441f-a165-f308c343e853	EAMENA-0203074	E05N35-24	1
2b539c8b-a674-4b39-9c1b-a86e9bc8e8f4	EAMENA-0203075	E06N35-13	1
abda49b1-b099-4625-8060-035639d8fb2f	EAMENA-0203076	E06N35-13	1
e1661b5a-5797-4a65-9e9f-e4bae369e743	EAMENA-0203077	E06N35-13	1
6df4a943-c617-488f-adf0-b0c9e53f5483	EAMENA-0205053	E05N35-31	1
