"ResourceID","Geometric Place Expression","Location Certainty","Geometry Extent Certainty","Geometry Type"
"f552f050-a225-4359-89b6-62caef7452a6","MULTIPOLYGON (((56.90087 31.06833, 56.90105 31.0681, 56.90136 31.06827, 56.90117 31.06851, 56.90087 31.06833)))","Medium","Medium","Perimeter Polygon"
"9c0189a8-3bba-4dad-ae3e-f908150ce07a","MULTIPOLYGON (((53.38942 35.57376, 53.38993 35.57353, 53.39025 35.57401, 53.38977 35.57427, 53.38942 35.57376)))","Medium","Medium","Perimeter Polygon"
"fdeef281-58c5-4814-ad1a-f9f2749b20de","MULTIPOLYGON (((55.4474 30.70156, 55.44696 30.70129, 55.44723 30.70097, 55.44768 30.70118, 55.4474 30.70156)))","Medium","Medium","Perimeter Polygon"
"586db76f-d5ee-47f1-a4c6-f3ada8900408","MULTIPOLYGON (((55.02605 31.06803, 55.02632 31.06772, 55.02661 31.0679, 55.02636 31.06821, 55.02605 31.06803)))","Medium","Medium","Perimeter Polygon"
"d30087d8-434c-4eb9-87fe-3b6a635e9a4d","MULTIPOLYGON (((55.3723 32.70948, 55.37271 32.70928, 55.37303 32.70973, 55.37262 32.70993, 55.3723 32.70948)))","Medium","Medium","Perimeter Polygon"
"68a2387f-e794-4012-874f-010236e1d546","MULTIPOLYGON (((54.57842 36.69985, 54.57849 36.69983, 54.57852 36.6999, 54.57847 36.69992, 54.57842 36.69985)))","Medium","Medium","Perimeter Polygon"
"074c1c4d-660e-4793-a7e1-e9279e2af4d1","MULTIPOLYGON (((54.48397 32.16236, 54.48392 32.16232, 54.4839 32.16226, 54.48389 32.1622, 54.48391 32.16214, 54.48397 32.16211, 54.48405 32.1621, 54.48412 32.16212, 54.48415 32.16213, 54.4842 32.16218, 54.48421 32.16225, 54.48414 32.16233, 54.48403 32.16235, 54.48397 32.16236)))","Medium","Medium","Perimeter Polygon"
"8c471f06-9909-497d-b7e0-c4832ba23f24","MULTIPOLYGON (((56.38722 36.3608, 56.38797 36.36054, 56.38845 36.36149, 56.38771 36.36174, 56.38722 36.3608)))","Medium","Medium","Perimeter Polygon"
"c0d3f241-2d63-447e-805c-6d9a25b97dd6","MULTIPOLYGON (((55.27169 30.87932, 55.27208 30.87914, 55.27231 30.87951, 55.27195 30.8797, 55.27169 30.87932)))","Medium","Medium","Perimeter Polygon"
"5d96b35e-f2ac-46c5-8d24-a1319d92e3b7","MULTIPOLYGON (((53.32326 32.68233, 53.32361 32.68206, 53.32395 32.68234, 53.32358 32.68266, 53.32326 32.68233)))","Medium","Medium","Perimeter Polygon"
