"ea.uuid"	"ea.name"	"ea.duration.taq"	"ea.duration.tpq"
"2ab2df0c-e217-4337-b1d7-690a242594d3"	"Chalcolithic, Middle Susiana (Khuzestan, Iran)"	"-5700"	"-4700"
"3a567584-e636-4afe-b7ca-ecd141475779"	"Chalcolithic, Early Susiana (Khuzestan, Iran)"	"-6000"	"-5700"
"41e3220d-3399-41d9-a960-313f958e8e6b"	"Chalcolithic, Susa II/Uruk (Khuzestan, Iran)"	"-3700"	"-3100"
"9fcb38c6-fa19-4c68-b606-8fa4702dac77"	"Palaeolithic, Upper (North Africa)"	"-70000"	"-10000"
"294c91da-bf74-47df-87a5-9006dae43f0e"	"Palaeolithic, Lower (North Africa)"	"-700000"	"-250000"
"d7c81a8f-e1b1-4c2b-baef-5c6a54b3a642"	"Palaeolithic, Middle (North Africa)"	"-250000"	"-70000"
"710903c9-3bcb-41e8-8945-f04321610cda"	"Middle Bronze Age II (Northwest Iran)"	"-1900"	"-1600"
"7683b9a6-3800-4984-a783-fab0ad6e9a87"	"Early Bronze Age/Early Transcaucasian (Northwest Iran)"	"-3100"	"-1600"
"082b6201-6360-4413-bb59-143694e5bb19"	"Late Bronze Age (Northwest Iran)"	"-1450"	"-1250"
"b3dbd052-0d5b-4376-9a46-79b538837e08"	"Middle Bronze Age III (Northwest Iran)"	"-1600"	"-1450"
"670bd722-548c-49a8-9898-795cc8481f30"	"Middle Bronze Age I (Northwest Iran)"	"-2100"	"-1900"
"06b60e38-bbf6-49d0-b371-cb2ff094d3ec"	"Hellenistic/Seleucid, Late (Levant/Mesopotamia)"	"-160"	"-50"
"83f1f7d6-24eb-4c5a-ba95-acc3cf195f67"	"Post-Achaemenid/Hellenistic/Seleucid, Early (Levant/Mesopotamia/Iran)"	"-330"	"-160"
"0273a36b-7f97-4f92-b87a-bf631e5e8491"	"Contemporary Islamic, Modern (MENA)"	"1950"	"2023"
"29e47f16-9491-403d-9093-eb710731c7ad"	"Palaeolithic, Lower (Iran)"	"-800000"	"-250000"
"25bbff59-9502-42c1-933f-71488905096d"	"Palaeolithic, Upper (Iran)"	"-45000"	"-18000"
"dee11d1c-a0c2-4170-bca0-b69b87d1190d"	"Palaeolithic, Middle (Iran)"	"-250000"	"-45000"
"fbcd5f2c-fc54-4f62-8698-766a1e43fd33"	"Neolithic, Late/Ceramic/Pottery, Early (Levant/Mesopotamia)"	"-6800"	"-6000"
"1a17e656-1352-4351-9afa-55c5ee87cc86"	"Neolithic, Late/Ceramic/Pottery, Late (Levant/Mesopotamia)"	"-6000"	"-5000"
"7686f7bb-a676-497b-8dd1-b368b5bbc5f4"	"Neolithic, Late (Arabia)"	"-4000"	"-3000"
"c0936d06-c696-4a0e-947d-2cbf219ce611"	"Neolithic, Early (Arabia)"	"-6500"	"-6000"
"bd1eacf4-c316-4475-90c5-ce344799f695"	"Neolithic, Middle (Arabia)"	"-6000"	"-4000"
"026581d8-10ab-42ee-b4b4-fe5dd223ff41"	"Late Bronze Age 1/Mittani (Northern Mesopotamia)"	"-1600"	"-1400"
"1830be78-fee6-440c-b90c-3197efee496b"	"Late Bronze Age 2/Middle Assyrian (Northern Mesopotamia)"	"-1400"	"-1200"
"d541a34a-7a2c-4ef4-ad16-039796455054"	"Epipalaeolithic, Late (Iran)"	"-12500"	"-8500"
"eae5e74a-e0af-4fcd-afb8-622fec21af15"	"Epipalaeolithic, Early (Iran)"	"-18000"	"-12500"
"92bb07c0-c7e0-4533-9f49-66432d0baa8e"	"Iron Age, Early (Northern Levant)"	"-1200"	"-900"
"6a11200c-6e3d-438c-9687-ab73a71002c2"	"Iron Age, Middle (Northern Levant)"	"-900"	"-550"
"f5a6a170-f787-4c2a-bc03-9747bbe23f0d"	"Iron Age, Late (Northern Levant)"	"-550"	"-330"
"b4328a1f-1fde-4c78-aaf5-d2dbac673e4f"	"Islamic, Middle (Ghaznavid/Seljuq/Khwarazmshah) (Iran)"	"1000"	"1200"
"17014583-8f0c-4962-972c-2dc8c9c9f014"	"Islamic, Late (Timurid/Safavid/Qajar) (Iran)"	"1400"	"1900"
"d2fb3e32-43ae-428b-9e48-9c0e1ad3ce3f"	"Islamic, Early (Tahirid/Saffarid/Samanid/Buyids) (Iran)"	"800"	"1000"
"8ec95fc4-4c38-4e43-a409-72584bb3c63f"	"Islamic, Middle (Mongol/Ilkhanid/Muzaffarid/Jalayrid) (Iran)"	"1200"	"1400"
"703e2ec7-705e-449d-8cc2-df40273f1417"	"Islamic, Early (Ummayad/Abbasid) (Iran)"	"640"	"800"
"77f7c756-4ba1-422e-bcc3-89d6b3346217"	"Middle Bronze Age 2 (Levant)"	"-1800"	"-1600"
"e995d8b1-1aeb-4f21-be3f-fd029f51001c"	"Middle Bronze Age 1 (Levant)"	"-2000"	"-1800"
"5af0bc13-5a13-4578-b691-75df4d6e0e83"	"Islamic, Late (Mamluk/Rasulid) (Levant/Arabia)"	"1300"	"1500"
"fcae014b-7d62-4469-8154-7cbfa4feb3cb"	"Islamic, Late (Ottoman) (Levant/Arabia)"	"1500"	"1900"
"b007aef8-a03d-49ca-a142-82d987e18145"	"Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia)"	"1070"	"1300"
"bc58f7b8-8c65-4c37-b3f2-4847dd7e9281"	"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)"	"640"	"1070"
"44608cbe-3101-41a7-bfcd-7d80a3006d1c"	"Neolithic, Early (Maghreb)"	"-7000"	"-3000"
"0aa04137-b66f-40f7-b2d4-c05d6826176a"	"Neolithic, Late (Maghreb)"	"-3000"	"-1000"
"ed62666b-39db-4538-aadb-018af73781f7"	"Neolithic, Late (Mauritania)"	"-2200"	"-300"
"3acdef80-c036-42cd-bf78-29636133ebc9"	"First World War (MENA)"	"1914"	"1918"
"bf68ff16-c5f2-418f-b22c-23bf43960e26"	"Second World War (MENA)"	"1939"	"1945"
"99530868-7f16-45c3-8ec8-e2075f3c546b"	"Iron Age, Early (Maghreb)"	"-1000"	"-800"
"cfddd03d-a1ac-4ba7-9f0d-d2050119e331"	"Iron Age, Late/Punic, Early (Maghreb)"	"-800"	"-500"
"fad91453-7f89-4524-9e28-f9d0a9d528e3"	"Roman Imperial, Late (North Africa)"	"200"	"430"
"5e1606ac-81ee-420a-9a27-b3d53f446602"	"Roman Imperial, Early (North Africa)"	"-31"	"200"
"67df6c4c-d758-4551-b0b4-dd1048ad55cb"	"Bronze Age, Ur III Period (Southern Mesopotamia)"	"-2150"	"-2000"
"694e613c-0318-42e9-8add-4fda3fe3698e"	"Bronze Age, Kassite (Southern Mesopotamia)"	"-1550"	"-1100"
"e387bede-b33b-4494-b0b2-cf2624312aed"	"Bronze Age, Middle Babylonian (Southern Mesopotamia)"	"-1400"	"-1100"
"95ac6d80-2f7e-4f94-9ec4-f7aa9783d2e9"	"Bronze Age, Akkadian (Southern Mesopotamia)"	"-2400"	"-2150"
"c39195d7-0674-4584-864a-9f8f72bdafda"	"Bronze Age, Jemdat Nasr (Southern Mesopotamia)"	"-3100"	"-2900"
"3470c414-799d-4e86-83f1-4a145fb6994a"	"Bronze Age, Old Babylonian (Southern Mesopotamia)"	"-1900"	"-1550"
"5b3d0c99-374c-4f1e-9235-f5a0910d4979"	"Late Bronze Age (Central Zagros, Iran)"	"-1400"	"-1200"
"dd1382b2-f453-4f7b-96d6-124c3b8ed92d"	"Early Bronze Age (Central Zagros, Iran)"	"-2900"	"-2100"
"39b458c7-4321-491f-9ba5-84645036c60e"	"Middle Bronze Age (Central Zagros, Iran)"	"-2100"	"-1400"
"c8a1a6c0-8bd7-477f-a58a-339014a79d7f"	"Iron Age, Neo-Babylonian (Mesopotamia)"	"-650"	"-550"
"ff5e8d1f-81c7-4564-b2b0-fb4ac4e4130f"	"Iron Age, Late/Neo-Assyrian (Mesopotamia)"	"-950"	"-600"
"85d8a221-db7c-4692-a81b-30df66764227"	"Iron Age, Middle Assyrian (Mesopotamia)"	"-1200"	"-950"
"e3570739-9173-4dca-9edc-9f7e2c4170d3"	"Iron Age, Post-Assyrian/Achaemenid/Persian (Levant/Mesopotamia)"	"-550"	"-330"
