"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"EAMENA-0207235";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.98661 30.40834, 55.98685 30.40796, 55.98723 30.4081, 55.98697 30.40851, 55.98661 30.40834))"
"EAMENA-0207243";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.15455 30.67664, 57.15486 30.67644, 57.15501 30.6766, 57.15469 30.6768, 57.15455 30.67664))"
"EAMENA-0207245";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.52829 36.64484, 54.52846 36.64476, 54.52855 36.64491, 54.52838 36.64499, 54.52829 36.64484))"
"EAMENA-0207241";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.90087 31.06833, 56.90105 31.0681, 56.90136 31.06827, 56.90117 31.06851, 56.90087 31.06833))"
"EAMENA-0207244";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.38942 35.57376, 53.38993 35.57353, 53.39025 35.57401, 53.38977 35.57427, 53.38942 35.57376))"
"EAMENA-0207238";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.4474 30.70156, 55.44696 30.70129, 55.44723 30.70097, 55.44768 30.70118, 55.4474 30.70156))"
"EAMENA-0207231";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.02605 31.06803, 55.02632 31.06772, 55.02661 31.0679, 55.02636 31.06821, 55.02605 31.06803))"
"EAMENA-0207250";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.3723 32.70948, 55.37271 32.70928, 55.37303 32.70973, 55.37262 32.70993, 55.3723 32.70948))"
"EAMENA-0207249";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.57842 36.69985, 54.57849 36.69983, 54.57852 36.6999, 54.57847 36.69992, 54.57842 36.69985))"
"EAMENA-0207251";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.48397 32.16236, 54.48392 32.16232, 54.4839 32.16226, 54.48389 32.1622, 54.48391 32.16214, 54.48397 32.16211, 54.48405 32.1621, 54.48412 32.16212, 54.48415 32.16213, 54.4842 32.16218, 54.48421 32.16225, 54.48414 32.16233, 54.48403 32.16235, 54.48397 32.16236))"
"EAMENA-0207213";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.38722 36.3608, 56.38797 36.36054, 56.38845 36.36149, 56.38771 36.36174, 56.38722 36.3608))"
